Data Source Name,Summary,Types of Service,License,Domain,Resources,Process Area,No of datasets,Sourced,Cataloged,Github,Comments
Data.gov,"U.S Govt's open datasets on financial services, including banking, lending, retirement, investments, and insurance",Data Provider,License required,Financial Services,https://data.gov/,General,700,350,25,,Just sourced .CSV/.json/.jsonl
Data.gov,U.S Govt's open datasets related to health and health care,Data Provider,License required,Healthcare,https://data.gov/,General,800,530,0,,Just sourced .CSV/.json/.jsonl
Data.gov,"U.S Govt's open datasets on key energy topics like alternative fuels, green buildings, efficiency, and managing energy in your own home.",Data Provider,License required,Energy,https://data.gov/,General,,,,,
Data.gov,"U.S Govt's open datasets related to new technologies, facilities, and research",Data Provider,License required,Manufacturing,https://data.gov/,General,,,,,
Data.gov,U.S Govt's open datasets to build apps that help consumers make smarter choices.,Data Provider,License required,Consumer,https://data.gov/,General,,,,,
Data.gov,"U.S Govt's open datasets related to climate change that can help inform and prepare America’s communities, businesses, and citizens",Data Provider,License required,Climate,https://data.gov/,General,,,,,
Data.gov,"U.S Govt's open datasets powering a new civic movement that is changing the way citizens experience our nation’s cities, counties, and states.",Data Provider,License required,Local Govt,https://data.gov/,General,,,,,
Quandl,Cloud based Financial Services data catalog,Data Provider,License required,Financial Services,https://www.quandl.com,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,35,,,
Quandl,Cloud based Financial Services data catalog,Data Provider,License required,Financial Services,https://www.quandl.com,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,35,,,
Quandl,Cloud based Financial Services data catalog,Data Provider,License required,Healthcare,https://www.quandl.com,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,35,,,
Quandl,Cloud based Financial Services data catalog,Data Provider,License required,Commerce,https://www.quandl.com,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,117,,,
Quandl,Cloud based Financial Services data catalog,Data Provider,License required,General,https://www.quandl.com,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,60,,,
Crowdflower,"Training data, machine learning and human-in-the-loop in a single platform",Data Provider,License required,Financial Services,https://www.crowdflower.com/,General,,53,,,
Thompson Reuters,"Wide range of financial services data including financial indexes, news etc.",Data Provider,License required,Financial Services,https://www.thomsonreuters.com/en/products-services.html,ENGAGE: Personalized User Engagement,,,,,
data.world,,,License required,General,https://data.world/,General,,,,,Need connecter - Only link was provided as part of PoC due to licensing issue
U.S. Securities and Exchange Commission (SEC),Information about companies and investment professionals,,,Financial Services,https://www.sec.gov/,ENGAGE: Personalized User Engagement,,,,,Completed as part of idp. Datasets should be in CS DB
Drugs.com,Prescription drug information and news for professionals and consumers.,,,Healthcare,https://www.drugs.com/,"ENGAGE: Personalized User Engagement, AMPLIFY: Intelligent Process Automation",,,,,Completed as part of idp. Datasets should be in CS DB
National Average Drug Acquisition Cost-NADAC,National Average Drug Acquisition Cost,,,Healthcare,https://data.medicaid.gov/Drug-Pricing-and-Payment/NADAC-National-Average-Drug-Acquisition-Cost-/a4y5-998d,"ENGAGE: Personalized User Engagement, AMPLIFY: Intelligent Process Automation",,1,,,Completed as part of idp. Datasets should be in CS DB
Bloomberg,"Finance, business and markets news, data",,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
Thomson Reuters,Financial Services data catalog,,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
WSJ,Financial and Investment data,,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
MarketWatch News Viewer,Financial and Investment datasets,,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
Forbes,"Articles on finance, industry, investing, and marketing topics",,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
The Financial Times,"News, analysis and comment from the Financial,Investing and industry sector",,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
CNBC,"news, videos, streaming charts on stock markets, financial & earnings",,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
CNNMoney,Access to financial news and information,,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
Morningstar,Access to stock and general market data in fiancial and investment sector,,,Financial Services,,"ENGAGE: Personalized User Engagement, AMPLIFY: Decision Support",,1,,,Completed as part of idp. Datasets should be in CS DB
