Cortex Skill,Description,Requires 3rd Party API,Cognitive Function,Vendor,Cognitive Scale,Azure*,Google*,IBM Watson*,AWS*,Algorothmia*,Solution Pattern,Machine Learning,Deployment,Industry
Application usage feedback,This skill interprets user behavior through application usage as feedback for training.,,,CognitiveScale,X,,,,,,,,,
Linear Classifier with business driven model agnostic explanations,Predict the confidence of an match exception code to be added to a rejected invoice based on historical data,,,CognitiveScale,X,,,,,,,,,
Classifier with domain driven feature engineering,Provide list of accounts that are at high risk to go into bad debt after 120 days of invoicing,,,CognitiveScale,X,,,,,,,,,
Constraint Solver Model using OR Tools,Provide optimal appointment recommendations to schedulers based on patient preferences and defined parameters,,,CognitiveScale,X,,,,,,,,,
Text classification skill for client complaint,Classifying complaints to help automate process for better customer service,,,CognitiveScale,X,,,,,,,,,
Video Attribution,Detects the objects in a video and attributes the identified objects,,Vision :: Segmentation,CognitiveScale,X,,,,,,GENERAL,Function :: Deep Learning,On-prem,All
Churn Prediction,Machine learning-based interventions to reduce abandonments,,,CognitiveScale,X,,,,,,ENGAGE :: Personalized User Engagement,"Style :: Supervised, Function :: Regression",On-prem,All
Video Object Recognition,Identifies objects in a video,,"Vision :: Captioning, Vision :: Segmentation",CognitiveScale,X,,,,,,GENERAL,Function :: Deep Learning,On-prem,All
Video Scene Recognition,"Identifies the scenes (architecture, beach, sports etc.) in a video",,"Vision :: Captioning, Vision :: Segmentation",CognitiveScale,X,,,,,,GENERAL,Function :: Deep Learning,On-prem,All
Entity Extraction and Linking,"Pasring a doc, identify key entities/objects and link to wikipedia or other knowledge bases",,Language :: Entity Analysis,CognitiveScale,X,,,,,,GENERAL,"Function :: Deep Learning, Style :: Supervised",On-prem,All
Dynamic Topic Model,Temporal change in dominant topics,,Language :: Understanding,CognitiveScale,X,,,,,,AMPLIFY :: Risk & Opportunity Surveillance,"Style :: Unsupervised, Function :: Bayesian",On-prem,All
Optical Character Recognition**,Optical character recognition from an image with a bounding box with coordinates,,Vision :: Text Recognition,CognitiveScale,X,,,,,,GENERAL,,On-prem,All
Visual Search**,Take a picture of an item and search for it in a host of catalogs,,Knowledge :: Search,CognitiveScale,X,,,,,,GENERAL,Function :: Deep Learning,On-prem,All
Document Corpus Summarization**,Efficiently going through a large set of documents and summarize the content for the users,,Language :: Summarization,CognitiveScale,X,,,,,,AMPLIFY :: Risk & Opportunity Surveillance,,On-prem,All
Image Content Classifier,"Provides the information about an image, if it contains any Adult Content, if the image is having any Racist characteristics, any signs of violence, it is a spoof content or any medical characteristics",X,Vision :: Labeling,"Google, Azure",,X,X,,,,GENERAL,,Cloud,All
Text Classifier,Content Classification analyses a document and returns a list of content categories that apply to the text found in the document,,Language :: Understanding,Google,,,X,,,,GENERAL,Function :: Deep Learning,On-prem,All
Text Parsing,Provides access to natural language processing (NLP) tools that identify the structure of text,,Language :: Tokenization,Azure,X,X,,,,,GENERAL,Style :: Semi-Supervised,On-prem,All
Sentiment Analysis,"Inspects text and returns an inference of the prevailing sentiment (POSITIVE, NEUTRAL, MIXED, or NEGATIVE)",,Language :: Sentiment,"AWS, Google, IBM Watson, Algorithmia",X,,X,X,X,X,GENERAL,"Style :: Supervised, Function :: Deep Learning",On-prem,All
Term Sentiment,"Detects the sentiment of given word in a document by splitting sentences into terms. Sentiments are scored between 0-4. (Very Negative, Negative, Neutral, Positive, Very Positive).",,Language :: Sentiment,Algorithmia,,,,,,X,GENERAL,Style :: Supervised,On-prem,All
Text Summarization,Provides a brief summary of the input text.,,Language :: Summarization,Algorithmia,,,,,,X,GENERAL,,On-prem,All
Language Understanding,Identify the important parts in the given input text and summarizes the content.,X,Language :: Understanding,"AWS, IBM Watson, Azure",,X,,X,X,,GENERAL,,Cloud,All
Text Similarity,This algorithm will compare documents (can be any kind of document) and report which documents are the most similar .,,Language :: Understanding,Algotrithmia,,,,,,X,GENERAL,Function :: Deep Learning,On-prem,All
Detecting Coreferences,This algorithm gives list of maps in a text as an entity(key) and a list of other mentions of that entity as values.,X,Language :: Relation Extraction,Algorithmia,,,,,,X,GENERAL,,Cloud,All
Language Detection,Detect the natural language of the supplied text.,,Language :: Translation,"AWS, Google, Azure",X,X,X,,X,,GENERAL,,On-prem,All
Language Translation,This APIs provide access to translate the text from one language to other language.,X,Language :: Translation,"Google, IBM Watson",,,X,X,,,GENERAL,,Cloud,All
